X,Y,Z,B0
0.0,0.0,-50.0,0.045868403927848765
-5.0,-20.0,-45.0,0.0458004000930558
0.0,-20.0,-45.0,0.04580608259539323
5.0,-20.0,-45.0,0.04580558584288956
-15.0,-15.0,-45.0,0.04578403878798506
-10.0,-15.0,-45.0,0.045802376979788534
-5.0,-15.0,-45.0,0.045812753802221454
0.0,-15.0,-45.0,0.04581699073240334
5.0,-15.0,-45.0,0.04581624834424249
10.0,-15.0,-45.0,0.045810145752564924
15.0,-15.0,-45.0,0.045797666712965195
-15.0,-10.0,-45.0,0.04579657986868927
-10.0,-10.0,-45.0,0.04581236126542553
-5.0,-10.0,-45.0,0.04582016641996503
0.0,-10.0,-45.0,0.04582279170573945
5.0,-10.0,-45.0,0.045821886827701386
10.0,-10.0,-45.0,0.0458167500656611
15.0,-10.0,-45.0,0.04580529053679492
-20.0,-5.0,-45.0,0.04578247636456076
-15.0,-5.0,-45.0,0.04580546486843656
-10.0,-5.0,-45.0,0.04581870259588642
-5.0,-5.0,-45.0,0.045824228091767505
0.0,-5.0,-45.0,0.045825395880065775
5.0,-5.0,-45.0,0.045824144308216366
10.0,-5.0,-45.0,0.04581959131188267
15.0,-5.0,-45.0,0.04580899080087131
20.0,-5.0,-45.0,0.04579051465964813
-20.0,0.0,-45.0,0.04578977013732804
-15.0,0.0,-45.0,0.04581057887185134
-10.0,0.0,-45.0,0.04582197021094873
-5.0,0.0,-45.0,0.04582599312722791
0.0,0.0,-45.0,0.045826045643921315
5.0,0.0,-45.0,0.04582410830522112
10.0,0.0,-45.0,0.04581928480415182
15.0,0.0,-45.0,0.04580869644781251
20.0,0.0,-45.0,0.04579023565717342
-20.0,5.0,-45.0,0.045792903920658184
-15.0,5.0,-45.0,0.045811921404509306
-10.0,5.0,-45.0,0.045822285177287696
-5.0,5.0,-45.0,0.045825618601521234
0.0,5.0,-45.0,0.04582489342845249
5.0,5.0,-45.0,0.045821900919925176
10.0,5.0,-45.0,0.045815879444215286
15.0,5.0,-45.0,0.045804313419026785
20.0,5.0,-45.0,0.04578543052306744
-15.0,10.0,-45.0,0.04580961989256644
-10.0,10.0,-45.0,0.045819382363237134
-5.0,10.0,-45.0,0.04582247924838172
0.0,10.0,-45.0,0.045821142172374034
5.0,10.0,-45.0,0.04581680492439617
10.0,10.0,-45.0,0.045808936206025073
15.0,10.0,-45.0,0.04579574153978087
-15.0,15.0,-45.0,0.04580378192961853
-10.0,15.0,-45.0,0.04581275411669364
-5.0,15.0,-45.0,0.04581552580517816
0.0,15.0,-45.0,0.04581350490921906
5.0,15.0,-45.0,0.04580769552611555
10.0,15.0,-45.0,0.04579780900354545
15.0,15.0,-45.0,0.04578290145322416
-5.0,20.0,-45.0,0.04580360349225979
0.0,20.0,-45.0,0.045800657392921384
5.0,20.0,-45.0,0.045793464859251724
0.0,-30.0,-40.0,0.04573019666585349
-15.0,-25.0,-40.0,0.045718673946845624
-10.0,-25.0,-40.0,0.04573387379617846
-5.0,-25.0,-40.0,0.04574399709989986
0.0,-25.0,-40.0,0.04574929957498226
5.0,-25.0,-40.0,0.04575000645830721
10.0,-25.0,-40.0,0.045746403149910866
15.0,-25.0,-40.0,0.04573913632362463
-20.0,-20.0,-40.0,0.04571075857009503
-15.0,-20.0,-40.0,0.045733081050306316
-10.0,-20.0,-40.0,0.04574912895880708
-5.0,-20.0,-40.0,0.04575935333918238
0.0,-20.0,-40.0,0.04576424020579894
5.0,-20.0,-40.0,0.04576419017001782
10.0,-20.0,-40.0,0.045759456159590976
15.0,-20.0,-40.0,0.045750429324149376
20.0,-20.0,-40.0,0.04573790138571474
